,Israel
6/15/21,11.0
6/16/21,19.0
6/17/21,27.0
6/18/21,22.0
6/19/21,61.0
6/20/21,37.0
6/21/21,123.0
6/22/21,89.0
6/23/21,146.0
6/24/21,219.0
6/25/21,194.0
6/26/21,185.0
6/27/21,65.0
6/28/21,308.0
6/29/21,290.0
6/30/21,291.0
7/1/21,290.0
7/2/21,304.0
7/3/21,277.0
7/4/21,321.0
7/5/21,496.0
7/6/21,427.0
7/7/21,486.0
7/8/21,611.0
7/9/21,390.0
7/10/21,432.0
7/11/21,323.0
7/12/21,193.0
7/13/21,1275.0
7/14/21,720.0
7/15/21,952.0
7/16/21,830.0
7/17/21,864.0
7/18/21,755.0
7/19/21,1220.0
7/20/21,1491.0
7/21/21,1118.0
7/22/21,1434.0
7/23/21,991.0
7/24/21,1421.0
7/25/21,1254.0
7/26/21,2065.0
7/27/21,2195.0
7/28/21,2328.0
7/29/21,1823.0
7/30/21,2280.0
7/31/21,2675.0
8/1/21,1783.0
8/2/21,3849.0
8/3/21,3148.0
8/4/21,2968.0
8/5/21,4435.0
8/6/21,2904.0
8/7/21,4221.0
8/8/21,3156.0
8/9/21,5923.0
8/10/21,4164.0
8/11/21,7668.0
8/12/21,6525.0
8/13/21,4512.0
8/14/21,5622.0
8/15/21,4464.0
8/16/21,8698.0
8/17/21,8252.0
8/18/21,5883.0
8/19/21,8413.0
8/20/21,7606.0
8/21/21,7277.0
8/22/21,5035.0
8/23/21,8586.0
8/24/21,12113.0
8/25/21,6602.0
8/26/21,10446.0
8/27/21,6352.0
8/28/21,11177.0
8/29/21,5809.0
8/30/21,9879.0
8/31/21,4864.0
9/1/21,16629.0
9/2/21,13900.0
9/3/21,8090.0
9/4/21,7993.0
9/5/21,4632.0
9/6/21,0.0
9/7/21,0.0
9/8/21,22291.0
9/9/21,6045.0
9/10/21,8354.0
9/11/21,11396.0
9/12/21,6571.0
9/13/21,11800.0
9/14/21,10730.0
9/15/21,7429.0
9/16/21,6191.0
9/17/21,3040.0
9/18/21,8954.0
9/19/21,7732.0
9/20/21,6935.0
9/21/21,7198.0
9/22/21,5371.0
9/23/21,6718.0
9/24/21,2249.0
9/25/21,6345.0
9/26/21,3261.0
9/27/21,4024.0
9/28/21,4165.0
9/29/21,2875.0
9/30/21,4948.0
10/1/21,3352.0
10/2/21,2407.0
10/3/21,2152.0
10/4/21,3369.0
10/5/21,2845.0
10/6/21,2246.0
10/7/21,2379.0
10/8/21,1809.0
10/9/21,1579.0
10/10/21,1355.0
10/11/21,2159.0
10/12/21,1868.0
10/13/21,1557.0
10/14/21,1613.0
10/15/21,1305.0
10/16/21,1104.0
10/17/21,1000.0
10/18/21,1441.0
10/19/21,1243.0
10/20/21,901.0
10/21/21,1060.0
10/22/21,932.0
10/23/21,501.0
10/24/21,684.0
10/25/21,961.0
10/26/21,857.0
10/27/21,599.0
10/28/21,675.0
10/29/21,571.0
10/30/21,384.0
10/31/21,332.0
11/1/21,760.0
11/2/21,3379.0
11/3/21,650.0
11/4/21,554.0
11/5/21,462.0
11/6/21,342.0
11/7/21,384.0
11/8/21,777.0
11/9/21,418.0
11/10/21,470.0
11/11/21,520.0
11/12/21,413.0
11/13/21,295.0
11/14/21,308.0
11/15/21,591.0
11/16/21,452.0
11/17/21,580.0
11/18/21,445.0
11/19/21,465.0
11/20/21,361.0
11/21/21,351.0
11/22/21,701.0
11/23/21,-1149.0
11/24/21,494.0
11/25/21,607.0
11/26/21,453.0
11/27/21,340.0
11/28/21,329.0
11/29/21,766.0
11/30/21,684.0
12/1/21,443.0
12/2/21,565.0
12/3/21,415.0
12/4/21,359.0
12/5/21,473.0
12/6/21,755.0
12/7/21,804.0
12/8/21,755.0
12/9/21,571.0
12/10/21,585.0
12/11/21,356.0
12/12/21,474.0
12/13/21,800.0
12/14/21,761.0
12/15/21,627.0
12/16/21,878.0
12/17/21,720.0
12/18/21,696.0
12/19/21,794.0
12/20/21,1356.0
12/21/21,1120.0
12/22/21,1200.0
12/23/21,1745.0
12/24/21,1351.0
12/25/21,1455.0
12/26/21,1241.0
12/27/21,3046.0
12/28/21,2995.0
12/29/21,3446.0
12/30/21,5600.0
12/31/21,3886.0
1/1/22,6121.0
1/2/22,5060.0
1/3/22,9803.0
1/4/22,6882.0
1/5/22,17232.0
1/6/22,19418.0
1/7/22,14745.0
1/8/22,22398.0
1/9/22,17491.0
1/10/22,54515.0
1/11/22,31502.0
1/12/22,80523.0
1/13/22,25883.0
1/14/22,23477.0
1/15/22,54647.0
1/16/22,18501.0
1/17/22,0.0
1/18/22,0.0
1/19/22,243295.0
1/20/22,68513.0
1/21/22,64071.0
1/22/22,44580.0
1/23/22,0.0
1/24/22,212234.0
1/25/22,80643.0
1/26/22,93983.0
1/27/22,60271.0
1/28/22,45376.0
1/29/22,53928.0
1/30/22,71130.0
1/31/22,70415.0
2/1/22,65875.0
2/2/22,70691.0
2/3/22,58677.0
2/4/22,15488.0
2/5/22,31511.0
2/6/22,53730.0
2/7/22,50878.0
2/8/22,38854.0
2/9/22,29955.0
2/10/22,31422.0
2/11/22,27047.0
2/12/22,20061.0
2/13/22,31338.0
2/14/22,25430.0
2/15/22,22594.0
2/16/22,17838.0
2/17/22,19910.0
2/18/22,11589.0
2/19/22,11598.0
2/20/22,17803.0
2/21/22,13951.0
2/22/22,10107.0
2/23/22,12410.0
2/24/22,12571.0
2/25/22,5607.0
2/26/22,7720.0
2/27/22,10514.0
2/28/22,8765.0
3/1/22,8192.0
3/2/22,8529.0
3/3/22,2377.0
3/4/22,8463.0
3/5/22,7048.0
3/6/22,3991.0
3/7/22,7529.0
3/8/22,7464.0
3/9/22,2878.0
3/10/22,13135.0
3/11/22,3361.0
3/12/22,5410.0
3/13/22,6557.0
3/14/22,5970.0
3/15/22,7172.0
3/16/22,4766.0
3/17/22,8056.0
3/18/22,5641.0
3/19/22,7906.0
3/20/22,13803.0
3/21/22,13055.0
3/22/22,15821.0
3/23/22,13001.0
3/24/22,3430.0
3/25/22,17635.0
3/26/22,12321.0
3/27/22,16134.0
3/28/22,11967.0
3/29/22,18019.0
3/30/22,10164.0
3/31/22,13927.0
4/1/22,8587.0
4/2/22,8282.0
4/3/22,11194.0
4/4/22,11204.0
4/5/22,10241.0
4/6/22,7041.0
4/7/22,7750.0
4/8/22,5303.0
4/9/22,5688.0
4/10/22,4341.0
4/11/22,8991.0
4/12/22,6346.0
4/13/22,3719.0
4/14/22,5773.0
4/15/22,3258.0
4/16/22,3123.0
4/17/22,2688.0
4/18/22,4923.0
4/19/22,4260.0
4/20/22,4050.0
4/21/22,2699.0
4/22/22,0.0
4/23/22,6649.0
4/24/22,3430.0
4/25/22,4506.0
4/26/22,3743.0
4/27/22,1666.0
4/28/22,3804.0
4/29/22,2628.0
4/30/22,1992.0
5/1/22,1752.0
5/2/22,2624.0
